rank,name,category,n_epochs,n_addresses,total_allocated_eth,total_matched_eth,total_eth,avg_eth_per_epoch,epochs_list,name_variants
57,Fe,Developer Tools,1,1,1.2228,8.5368,9.7595,9.7595,8,Fe
58,Verifereum,Ethereum Infrastructure,1,1,1.2289,8.492,9.7209,9.7209,8,Verifereum
59,Crypto Native,Media & Storytelling,1,1,0.1562,9.3404,9.4966,9.4966,9,Crypto Native
60,Commit-Boost,Ethereum Infrastructure,1,1,1.2192,7.9532,9.1724,9.1724,8,Commit-Boost
61,Institutional Guide to RWA Token Standards,Research & Analytics,1,1,0.2026,8.929,9.1316,9.1316,9,Institutional Guide to RWA Token Standards
62,LottoPGF,Public Goods Funding,1,1,0.2301,8.842,9.0722,9.0722,5,LottoPGF
63,DeFood: Decentralized Food Security Network,Climate & Regenerative,1,1,0.1172,8.7816,8.8988,8.8988,7,DeFood: Decentralized Food Security Network
64,Act,Developer Tools,1,1,1.2105,7.6751,8.8856,8.8856,8,Act
65,hevm,Developer Tools,1,1,1.2186,7.5879,8.8065,8.8065,8,hevm
66,Ethers.js,Developer Tools,1,1,0.1276,8.6532,8.7808,8.7808,8,Ethers.js
67,DefiLlama,Developer Tools,1,1,0.0935,8.4793,8.5728,8.5728,8,DefiLlama
68,Doots Podcast,Media & Storytelling,1,1,0.409,7.8621,8.2712,8.2712,5,Doots Podcast
69,ETHPanda,Media & Storytelling,1,1,0.159,8.106,8.2651,8.2651,9,ETHPanda
70,Ethereum's Story Goes Mainstream,Media & Storytelling,1,1,0.2059,8.022,8.2279,8.2279,9,Ethereum's Story Goes Mainstream
71,Stablewatch,Developer Tools,1,1,0.4561,7.7124,8.1686,8.1686,8,Stablewatch
72,Regens Unite,Community & Coordination,2,1,0.1219,7.9986,8.1204,4.0602,"5,6",Regens Unite
73,Rifai Sicilia,Climate & Regenerative,1,1,0.0822,7.9298,8.012,8.012,7,Rifai Sicilia
74,SEAL 911,Security & Privacy,1,1,0.441,7.3148,7.7558,7.7558,12,SEAL 911
75,La Blocka Toon,Media & Storytelling,1,1,0.1872,7.1053,7.2926,7.2926,9,La Blocka Toon
76,Seabrick,Climate & Regenerative,1,1,0.0419,7.0654,7.1073,7.1073,7,Seabrick
